design,arm,rep,n_events,lag_set_m,Q_v,p_v,Q_z,p_z,acf_v_lag,acf_z_lag,reject_0.05_v,reject_0.05_z
D10,primary,0,108,1,2.215302267963345,0.13664829575247484,2.4263417452583997,0.11931104516426849,0.14125380799136153,0.14782900496511897,False,False
D10,primary,0,108,2,5.041950876886823,0.08038116162138398,4.185440328394419,0.12335114368301148,0.15881101588519905,0.12528232420665356,False,False
D10,primary,0,108,5,6.258683717755404,0.281855426584009,6.749988713330274,0.23990778294299875,-0.002402105791970329,0.021997974357136588,False,False
D10,primary,0,108,10,11.077428988616877,0.3515174882274914,12.080880627954308,0.2796799409759245,0.06320846022043738,-0.032741825917285514,False,False
D10,primary,1,130,1,0.4143431627673676,0.5197732783179129,0.3412622964044832,0.5591015051966042,-0.055810549919724846,-0.050650107078826986,False,False
D10,primary,1,130,2,0.5184280680134227,0.7716578443471691,0.39116465858167915,0.8223556368206992,-0.02786379194586184,-0.019293316775096297,False,False
D10,primary,1,130,5,3.570927112865858,0.6126836775225033,2.04117484494048,0.8434188850594011,-0.12354799578685657,-0.0890986238832995,False,False
D10,primary,1,130,10,8.61773959249303,0.5687242513015571,8.7132209650351,0.5595190284393743,-0.00986259649358716,-0.02334359407670239,False,False
D10,primary,2,151,1,0.07727333778672348,0.7810270800733139,0.04558272000609998,0.830936130664711,0.02239887862328952,-0.017203291919394778,False,False
D10,primary,2,151,2,0.1379946890611547,0.933329158501953,0.14078839956740186,0.9320263428982544,0.01978926476094621,0.02477937646366726,False,False
D10,primary,2,151,5,8.70883842212559,0.12125654018771581,1.5825349857686886,0.9033532731500298,0.14248794003722498,0.024658745768868708,False,False
D10,primary,2,151,10,11.217557301989029,0.34082147837394516,3.2510141189004464,0.9748844820558356,-0.010620575322928592,0.006923809315919747,False,False
D10,primary,3,94,1,0.16989037009598212,0.6802092576124867,0.04823552910667964,0.8261625307147454,0.041843337001105846,0.0222959229223297,False,False
D10,primary,3,94,2,7.181266811640092,0.02758085501523244,3.363117286939707,0.18608371172675653,0.2673597416439365,0.18383508117360575,True,False
D10,primary,3,94,5,10.39998074995327,0.06466350432331214,5.707840645260581,0.3356930007672241,0.010445713856702125,0.03378293599105874,False,False
D10,primary,3,94,10,13.51412671753368,0.196329039450305,6.446261905759189,0.7764812649462178,0.0721517729805076,-0.04708316899797903,False,False
D10,primary,4,105,1,0.09625945759162521,0.7563654646352638,0.2025305619562685,0.6526859563327803,0.02985051555663315,0.04329875561673162,False,False
D10,primary,4,105,2,3.6328890399394647,0.16260285558980248,1.2213714566963993,0.5429784056994991,-0.18006398679282462,-0.09664630580264788,False,False
D10,primary,4,105,5,4.814461262959324,0.43894082034465454,2.334840643268537,0.8011364240757375,0.09593652917026417,0.09910277749870136,False,False
D10,primary,4,105,10,10.605859452515633,0.3890375987683985,5.640656609806895,0.8444964352924544,-0.08889528001549075,0.07294971858465907,False,False
D10,primary,5,65,1,0.07289660116946887,0.7871650958985413,0.24083487553078295,0.6236037729337595,-0.032730266926790694,-0.059491592733455084,False,False
D10,primary,5,65,2,3.2174797151818306,0.2001396597080337,2.950103912161618,0.22876684090797395,-0.21328373332968714,-0.19797131227524414,False,False
D10,primary,5,65,5,7.256753380783526,0.20223477467529938,3.6899579407400136,0.5948590777309468,-0.0011594803616715537,-0.045202958216647014,False,False
D10,primary,5,65,10,23.863168530437406,0.007971984298110857,6.851216239697917,0.7394124402719605,-0.18725297768644605,-0.15617353946713497,True,False
D10,primary,6,105,1,0.3288311036077759,0.5663481885837666,0.07619223441184118,0.7825254785734965,-0.05517172670983722,-0.02655739580256517,False,False
D10,primary,6,105,2,0.9132521989441238,0.63341713079152,0.37117689790193364,0.8306153652740693,-0.07319729228362278,-0.05200340643003596,False,False
