document_id,title,date_original,date_iso,archive_repository,archive_access,inventory_number,source_file,document_type,status
DOC-ASSAY-1682-03-12,"Tambang Emas Sillida, laporan pengujian bijih",12 Maart Ao 1682,1682-03-12,"Nationaal Archief, Den Haag",1.04.02,7964,enklave-salido.docx,assay_report,translated_in_docx
DOC-OLITSCH-1682-04-30,Surat Benjamin Olitsch dari Tambang Emas Sillida,30 April 1682,1682-04-30,"Nationaal Archief, Den Haag",1.04.02,7964,enklave-salido.docx,letter,translated_in_docx
DOC-PROTOCOL-1682,Protocol gehouden in de Sillidase goudmijne,beginne des 1682sten jaars,1682,"Nationaal Archief, Den Haag",1.04.02,7964,enklave-salido.docx,mine_protocol,translated_in_docx
DOC-INVENTORY-1682-01-04,Opneminge en bevindinge van alle Compagnies effecten,4 Januarij 1682,1682-01-04,"Nationaal Archief, Den Haag",1.04.02,7964,enklave-salido.docx,inventory,translated_in_docx
DOC-PERSONNEL-1682-01-09,Lijste van Compagnies dienaren en lijfeijgenen,9 Januarij 1682,1682-01-09,"Nationaal Archief, Den Haag",1.04.02,7964,enklave-salido.docx,personnel_register,translated_in_docx
